term,weeb_freq,non_weeb_freq,specificity,similarity,combined_score
oh yeah,0.0005437266984070346,0.0001521506253697926,1.2735752680996937,0.0,0.8915026876697855
draw,0.003072437525334141,0.0008620654720056433,1.2708952029024423,0.0,0.8896266420317095
unlike,0.00031816153058812977,8.933151173527475e-05,1.2702041059062972,0.0,0.889142874134408
impression,0.0002203869030373989,6.195783369097051e-05,1.26892943974316,0.0,0.888250607820212
zero,0.001184127711988981,0.00033306998475263964,1.2684088263743682,0.0,0.8878861784620578
strawberry,0.0002513017143934647,7.073721433827262e-05,1.2676814467457358,0.0,0.887377012722015
ship,0.0006850212594675221,0.00019287108778075386,1.2674274742251515,0.0,0.887199231957606
fist,0.00031910238127153933,8.987220884442928e-05,1.2671224368206877,0.0,0.8869857057744813
video,0.005125446402532244,0.0014454152074533661,1.2658209534024654,0.0,0.8860746673817257
scene,0.0017101111141776223,0.00048229468516036527,1.2657581703357914,0.0,0.8860307192350539
render,0.00030000815039810683,8.46507261417976e-05,1.2652751075721003,0.0,0.8856925753004701
hobby,0.00038642443580296003,0.00010904135945611235,1.2652084268847423,0.0,0.8856458988193195
bible,0.0003594667525807067,0.00010225280896903362,1.2571727245907711,0.0,0.8800209072135398
counting,0.0003326781831514321,9.471003463868342e-05,1.2563548935006863,0.0,0.8794484254504803
fallout,0.000305099615561368,8.726634283123244e-05,1.2516726595969154,0.0,0.8761708617178408
feel free,0.0005737032195457726,0.00016418782165963046,1.2511007621944117,0.0,0.8757705335360881
watch,0.009630773173194282,0.0027591819048151003,1.2500292602106973,0.0,0.8750204821474881
youtube channel,0.00019767603124877859,5.6667112556082e-05,1.2494342090333475,0.0,0.8746039463233432
fans,0.0018817118184365508,0.000542272826212992,1.244167807799581,0.0,0.8709174654597067
banana,0.0005956010445681386,0.00017191666644237024,1.2425607788585118,0.0,0.8697925452009582
originally,0.00032175119607711933,9.309950728655296e-05,1.2401089085952626,0.0,0.8680762360166837
ni,0.0006230140120383608,0.00018030802137161317,1.239901997424617,0.0,0.8679313981972319
weekly,0.0006346995400242179,0.00018398448837585854,1.2382998838791557,0.0,0.8668099187154089
happythanksgiving,0.00027270702965434193,7.944681011704289e-05,1.2333094328756948,0.0,0.8633166030129863
love seeing,0.00030115681185223124,8.822554938341729e-05,1.2277337006812297,0.0,0.8594135904768607
sugar,0.00028681376237821895,8.403251666165387e-05,1.2276284251414884,0.0,0.8593398975990418
canon,0.0007213220858660822,0.0002114316541483743,1.2271836262098972,0.0,0.8590285383469279
adore,0.0006058115940317286,0.0001776272591817917,1.2268813337189672,0.0,0.858816933603277
hop,0.0004299025863874978,0.00012605780403828918,1.2268175151012597,0.0,0.8587722605708817
sheets,0.00021177232323883147,6.210252669024195e-05,1.2267239370018361,0.0,0.8587067559012852
released,0.0009434123770454214,0.00027705228384170596,1.2252969967280063,0.0,0.8577078977096043
slime,0.00022394523474068636,6.57718664739113e-05,1.2252082746159692,0.0,0.8576457922311783
es que,0.0002092187473910477,6.146681294700705e-05,1.2248817916476913,0.0,0.8574172541533839
cuz,0.001121329837109367,0.00032953552934824194,1.2245862240285499,0.0,0.8572103568199849
fall,0.002250264119178342,0.0006614643249602552,1.2243467162906725,0.0,0.8570427014034707
shy,0.00031633092420183445,9.300981562288048e-05,1.2240831031664412,0.0,0.8568581722165088
traditional,0.0005922248912011743,0.00017522867123814236,1.217794230971404,0.0,0.8524559616799828
checked,0.00041807998936275407,0.0001240330187314448,1.215124399030179,0.0,0.8505870793211252
valley,0.0008236943655735569,0.00024543133412435335,1.2107820494516308,0.0,0.8475474346161416
appearance,0.0003021244730755296,9.035212931035541e-05,1.207123735056514,0.0,0.8449866145395598
banner,0.0007687718899960428,0.0002304444093168327,1.204784330621422,0.0,0.8433490314349954
theme,0.0010159045433958736,0.0003058950557910878,1.2002923537002061,0.0,0.8402046475901442
designs,0.00073786407393718,0.0002222798549055096,1.1998221159670779,0.0,0.8398754811769544
legends,0.0004042636730906245,0.00012183682797140416,1.1993840739622077,0.0,0.8395688517735453
toys,0.000310265206709556,9.362415750048882e-05,1.1981382483254248,0.0,0.8386967738277973
facebook com,0.0005307627930207046,0.00016056013152184622,1.1956462459151889,0.0,0.8369523721406321
obsessed,0.001007372967115092,0.00030475173254907454,1.1956035162787457,0.0,0.8369224613951219
fury,0.00024297791551521538,7.35456783798703e-05,1.195062920679202,0.0,0.8365440444754414
mtg,0.00021272308829367508,6.46853987800081e-05,1.1904546887932068,0.0,0.8333182821552447
hybrid,0.00022552752552792185,6.858316373557e-05,1.1903941232262576,0.0,0.8332758862583802
unhinged,0.00046504883124738724,0.0001416663778923104,1.1886670808096804,0.0,0.8320669565667762
splatoon,0.00043053213696967016,0.00013139205241347843,1.1868358223019642,0.0,0.8307850756113748
knight,0.0006977538970438765,0.00021364832336562932,1.183534818332495,0.0,0.8284743728327464
fortnite,0.0007520050280333622,0.00023062712329322176,1.1819404880757534,0.0,0.8273583416530274
devil,0.0004026484338640583,0.000123626274987202,1.180800144894826,0.0,0.8265601014263781
spoiler,0.00030481972378171675,9.370088313357304e-05,1.1796121788081293,0.0,0.8257285251656905
in,0.0002483480839261132,7.638094888304035e-05,1.1790971148346248,0.0,0.8253679803842373
pov,0.00028176118627509225,0.00011858122455869341,0.8654612014956113,0.7314369082450867,0.8252539135204539
dragons,0.0004157672524440741,0.00012793771777452285,1.1785815076460477,0.0,0.8250070553522334
western,0.000684557012227623,0.00021137486553789362,1.1751384334841801,0.0,0.822596903438926
godzilla,0.00041209390057712176,0.0001272979934036141,1.1747199518058975,0.0,0.8223039662641282
hype,0.0005333037966928903,0.00016495444068664205,1.1734214993852967,0.0,0.8213950495697077
styles,0.0002386247317914625,7.391935348333534e-05,1.1719165431852745,0.0,0.8203415802296921
magic,0.0014553091377287554,0.00045095577504114114,1.1716041948748384,0.0,0.8201229364123868
writer,0.000501659146925678,0.0001554952716464669,1.1713051313791982,0.0,0.8199135919654387
final,0.0022594209586687666,0.0007036636302806999,1.1665633045260153,0.0,0.8165943131682106
bone,0.00025979434250509675,8.102499692381618e-05,1.165131767324337,0.0,0.8155922371270359
bts,0.00028035280192951486,8.747585241182165e-05,1.164685247599404,0.0,0.8152796733195828
tl,0.0002994353713705656,9.346901161686963e-05,1.1642679151436193,0.0,0.8149875406005335
related,0.0010366442010426749,0.00032427644799880014,1.1621474467778843,0.0,0.813503212744519
revealed,0.0003916242140213823,0.0001225774508196064,1.1615591000527345,0.0,0.8130913700369141
hockey,0.00021256594628771573,6.665768084754122e-05,1.159680964424607,0.0,0.811776675097225
shows,0.002425940202745477,0.0007609003702819295,1.1594719206816313,0.0,0.8116303444771419
date,0.0011853192714420871,0.000372599961212883,1.157261906569676,0.0,0.8100833345987732
heroes,0.00038021721828108453,0.00011967266032912798,1.1559819589728055,0.0,0.8091873712809639
compared,0.0004992364858488114,0.0001571748214684953,1.155720768704411,0.0,0.8090045380930877
aliens,0.0004658981900343365,0.00014671565110243903,1.1554702997108384,0.0,0.8088292097975868
trigger,0.0004263107907792648,0.00013431549187144755,1.1549766765427518,0.0,0.8084836735799262
gear,0.0004402402805018741,0.00013886040398961006,1.1538510362580119,0.0,0.8076957253806083
modern,0.0007330912723979073,0.00023133622298504027,1.1533977541821299,0.0,0.8073784279274908
blade,0.0004151330234452225,0.0001310526198048085,1.152999564676601,0.0,0.8070996952736206
sonic,0.0008311036348680782,0.0002630553123561475,1.1503899150797738,0.0,0.8052729405558416
op,0.0010938040208372914,0.00034667640554886063,1.149024833900507,0.0,0.8043173837303548
ga,0.0005312321705950413,0.00016837654835747022,1.1489959222021804,0.0,0.8042971455415262
dynamic,0.0004439204768405971,0.00014124334688894765,1.1451606901977023,0.0,0.8016124831383915
underrated,0.0006887955108590189,0.00021918944712775084,1.1450077134614884,0.0,0.8015053994230419
tengo,0.000186360440451365,5.9391599746801234e-05,1.143528705281479,0.0,0.8004700936970354
spicy,0.00036934209205911976,0.00011773647185124068,1.143273877157483,0.0,0.8002917140102381
cozy,0.0007338508372912704,0.00023474907502934344,1.1397883214507898,0.0,0.7978518250155529
mario,0.0005983684538085681,0.00019162485626958943,1.13866676584217,0.0,0.7970667360895191
alien,0.0007111156678161448,0.00022804680048778593,1.1372839287874625,0.0,0.7960987501512238
shell,0.0004308428369831085,0.00013827909756230778,1.1364687962910343,0.0,0.795528157403724
ko,0.0007033372575329029,0.0002263116254128169,1.1339232945206716,0.0,0.7937463061644701
artists,0.001221486591533222,0.00039347655446648295,1.1328022572697145,0.0,0.7929615800888001
badass,0.0003957244849964563,0.00012756743005010464,1.1320726050176522,0.0,0.7924508235123565
una,0.0007222588736650207,0.00023287062426631793,1.1319002957512039,0.0,0.7923302070258427
instantly,0.0002741586820942822,8.848042372958631e-05,1.130924978296553,0.0,0.791647484807587
mexican,0.0003122674323007786,0.00010084936473615303,1.1302313388489231,0.0,0.7911619371942461
pikachu,0.0002630149049508766,8.508257507710873e-05,1.128587651854692,0.0,0.7900113562982843
ongoing,0.00034386372656315244,0.00011181411998720715,1.1234069820571362,0.0,0.7863848874399952
blacksky,0.0019069301864458041,0.0006213571441888926,1.121343859296733,0.0,0.7849407015077131
beloved,0.00044833809653686965,0.00014611841852141017,1.121129787507832,0.0,0.7847908512554824
featuring,0.0005080895548315552,0.00016576576198867817,1.1200815951358154,0.0,0.7840571165950707
premise,0.00033099677202789394,0.00010811461243797984,1.1189161096224296,0.0,0.7832412767357007
fits,0.00033703981364768023,0.00011010216273061061,1.118791766350338,0.0,0.7831542364452365
beats,0.00033867333724686276,0.00011128480782728829,1.112942681090066,0.0,0.7790598767630461
fiction,0.0004607676165914209,0.00015143192966859712,1.1127571722228167,0.0,0.7789300205559716
preferred,0.00024086698734797682,7.932500141071156e-05,1.1106906606867666,0.0,0.7774834624807365
con,0.0013563101686860206,0.0004475161961881118,1.1088103009276062,0.0,0.7761672106493244
curry,0.00020150735847110013,6.650656656596846e-05,1.1085242036971132,0.0,0.7759669425879793
compare,0.00021120721612778102,6.97171518195129e-05,1.1083923895045413,0.0,0.7758746726531789
logo,0.0004393349120370085,0.00014526069545426698,1.1067315311767392,0.0,0.7747120718237174
ancient,0.0003270916494824031,0.0001081638632006643,1.1065924573577612,0.0,0.7746147201504329
creepy,0.0005896908460838237,0.000195334177451174,1.1048862451961208,0.0,0.7734203716372845
alley,0.00029103104400851994,9.65854590661216e-05,1.1030010475548002,0.0,0.7721007332883602
profile pic,0.0002715494732640823,9.013068295969878e-05,1.1028829534627906,0.0,0.7720180674239534
discord gg,0.00019701164858620916,6.547676520991065e-05,1.1015664871049493,0.0,0.7710965409734645
10 10,0.00047734424504749883,0.00015881161229590313,1.1005188267147248,0.0,0.7703631787003073
pose,0.0004570929068260279,0.0001520886157881993,1.1004228791319441,0.0,0.7702960153923608
vid,0.00020617932013653194,6.86549706935661e-05,1.099651768784443,0.0,0.76975623814911
newest,0.00024037487778562602,8.009378803013878e-05,1.099000564573412,0.0,0.7693003952013884
squad,0.0003240246799997372,0.00010801244164263855,1.0985726476456326,0.0,0.7690008533519428
